# The phyletic profiles are given as one OMA Group per row, starting
# with a group identifier, followed by a presents/absents indicator
# (i.e. 0 := absent, 1: present) per species in the group as columns.
# The first row contains the species for each column.
Group	SE001_aa	SE002_aa	SE003_aa
OMA00001	1	0	1
OMA00002	1	0	1
OMA00003	1	0	1
OMA00004	1	0	1
OMA00005	1	0	1
OMA00006	1	0	1
OMA00007	1	0	1
OMA00008	1	0	1
OMA00009	1	0	1
OMA00010	1	0	1
OMA00011	1	0	1
OMA00012	1	0	1
OMA00013	1	0	1
OMA00014	1	0	1
OMA00015	1	0	1
OMA00016	1	0	1
OMA00017	1	0	1
OMA00018	1	0	1
OMA00019	1	0	1
OMA00020	1	0	1
OMA00021	1	0	1
OMA00022	1	0	1
OMA00023	1	0	1
OMA00024	1	0	1
OMA00025	1	0	1
OMA00026	1	0	1
OMA00027	1	0	1
OMA00028	1	0	1
OMA00029	1	0	1
OMA00030	1	0	1
OMA00031	1	0	1
OMA00032	1	0	1
OMA00033	1	0	1
OMA00034	1	0	1
OMA00035	1	0	1
OMA00036	1	0	1
OMA00037	1	0	1
OMA00038	1	0	1
OMA00039	1	0	1
OMA00040	1	0	1
OMA00041	1	0	1
OMA00042	1	0	1
OMA00043	1	0	1
OMA00044	1	0	1
OMA00045	1	0	1
OMA00046	1	0	1
OMA00047	1	0	1
OMA00048	1	0	1
OMA00049	1	0	1
OMA00050	1	0	1
